#OTU ID	YD17L1	YD17L2	YD17L3	YD17L4	YD24L1	YD24L2	YD24L3	YD24L4	YD32L1	YD32L2	YD32L3	YD32L4	YD3L1	YD3L2	YD3L3	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD45L1	YD45L2	YD45L3	YD45L4
Zotu2099	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu773	0	0	2	9	0	0	0	0	0	0	3	0	0	0	0	6	0	1	5	13	0	2	0	14
Zotu2480	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1389	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3118	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2576	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3945	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2247	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	4	1	0	0	0	0	1	0	0
Zotu1306	0	0	18	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3003	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1683	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3999	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3900	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu749	0	0	9	0	0	0	20	0	0	0	0	0	0	0	0	0	0	1	5	0	2	8	0	0
Zotu2023	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1110	0	0	14	0	0	0	0	3	1	0	3	19	0	0	0	0	0	0	0	0	0	1	0	0
Zotu836	0	0	10	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	22	21	1	0
Zotu3886	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu819	0	0	27	1	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4
Zotu915	0	0	19	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
Zotu747	0	0	18	1	0	4	1	11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0
Zotu845	0	0	22	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	1	1	0	0	0
Zotu2422	0	0	1	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2102	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2512	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu2922	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Zotu4709	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu504	0	0	19	0	0	5	12	41	0	0	0	19	0	0	0	4	0	0	4	1	0	5	0	13
Zotu1095	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2119	0	0	1	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0
Zotu2243	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
Zotu1047	0	0	17	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu166	0	0	12	0	1	0	1	0	2	491	300	0	0	0	0	9	0	0	0	16	12	11	2	0
Zotu1870	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu776	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	47	0	0	0
Zotu2529	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Zotu3217	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu3225	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3159	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2105	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	8	0	0
Zotu1503	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu1920	0	0	1	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu262	0	0	2	27	5	4	29	102	5	1	4	57	0	3	0	20	0	6	14	0	2	4	19	34
Zotu3370	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
Zotu3899	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu381	0	0	6	10	0	0	18	15	2	17	14	46	0	0	1	11	0	0	10	9	0	4	1	27
Zotu184	0	0	5	0	0	0	252	17	0	4	27	1	0	0	0	1	0	0	116	0	0	33	1	0
Zotu2344	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1901	0	0	6	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Zotu2111	0	0	4	0	0	0	0	0	0	0	1	4	0	0	0	0	0	2	0	0	0	0	0	0
Zotu2516	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1928	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2251	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Zotu4892	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1820	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1355	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1307	0	0	0	7	0	0	0	3	3	0	0	4	0	0	0	0	0	0	2	0	2	4	0	16
Zotu4554	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu967	0	0	5	0	0	0	7	0	0	0	0	0	0	2	0	5	0	0	0	14	0	0	0	0
Zotu3590	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu246	0	0	3	67	0	1	1	4	7	0	67	7	0	0	0	5	0	0	24	42	0	2	147	64
Zotu3487	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu629	0	0	1	4	0	0	0	1	0	0	9	3	0	0	0	5	0	1	3	15	0	0	19	11
Zotu1410	0	0	15	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Zotu867	0	0	13	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1777	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1696	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	6
Zotu2054	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2064	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3923	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1933	0	0	0	0	0	0	1	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Zotu536	0	0	6	3	0	1	28	3	0	0	0	21	0	0	0	0	0	0	0	2	0	55	3	1
Zotu2818	0	0	1	0	0	1	0	3	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	3
Zotu1396	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0
Zotu1726	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0
Zotu3971	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu549	0	0	0	0	0	0	0	103	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1916	0	0	7	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Zotu4067	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1545	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	23	0	0
Zotu4442	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	4	1	0
Zotu1624	0	0	2	0	0	3	0	2	1	0	0	0	1	0	0	0	0	1	2	0	0	4	0	5
Zotu1893	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4099	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu974	0	0	6	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Zotu2192	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4459	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu261	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	0	0	336	2
Zotu1022	0	0	6	0	0	4	0	6	9	0	1	4	0	0	0	0	0	1	2	1	0	1	0	1
Zotu980	0	0	8	0	0	0	1	12	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0
Zotu3948	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1707	0	0	7	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1453	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0
Zotu4176	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2131	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1024	0	0	4	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	55	0	33	0	0
Zotu213	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387
Zotu4366	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2321	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
